word,phonetic,translation,example,example_translation,level,difficulty,topic,subtopic,exam_tags,part_of_speech
abandon,/əˈbændən/,拋棄，放棄,Never abandon your dreams.,永遠不要放棄你的夢想。,Beginner,1,Corporate,GeneralBusiness,"TOEIC,Reading,Part5,Part7",v.
abolish,/əˈbɒlɪʃ/,廢除，廢止,The government decided to abolish the old tax law.,政府決定廢除舊的稅法。,Beginner,1,Corporate,GeneralBusiness,"TOEIC,Reading,Part5,Part7",v.
abundant,/əˈbʌndənt/,豐富的，充裕的,The region is abundant in natural resources.,該地區擁有豐富的自然資源。,Beginner,1,Corporate,GeneralBusiness,"TOEIC,Reading,Part5,Part7",adj.
accelerate,/əkˈseləreɪt/,加速，促進,We need to accelerate the development of the project.,我們需要加快項目的進度。,Beginner,1,Corporate,GeneralBusiness,"TOEIC,Reading,Part5,Part7",v.
accept,/əkˈsept/,接受，同意,We are pleased to accept your offer.,我們很高興接受您的提議。,Beginner,1,Corporate,GeneralBusiness,"TOEIC,Reading,Part5,Part7",v.
access,/ˈækses/,進入，使用權,You need a password to access the database.,您需要密碼才能訪問資料庫。,Intermediate,3,Corporate,GeneralBusiness,"TOEIC,Reading,Part5,Part7",v.
account,/əˈkaʊnt/,帳戶，說明,Please deposit the check into my account.,請將支票存入我的帳戶。,Advanced,1,Finance,Accounting,"TOEIC,Reading,Part6,Part7",n./v.
accumulate,/əˈkjuːmjəleɪt/,累積，積聚,Dust began to accumulate on the old books.,舊書上開始積起灰塵。,Beginner,1,Corporate,GeneralBusiness,"TOEIC,Reading,Part5,Part7",v.
accurate,/ˈækjərət/,精確的，準確的,The weather forecast was surprisingly accurate.,天氣預報出奇地準確。,Beginner,1,Corporate,GeneralBusiness,"TOEIC,Reading,Part5,Part7",adj.
achieve,/əˈtʃiːv/,達到，完成,We hope to achieve our sales goals this quarter.,我們希望本季度能實現銷售目標。,Beginner,1,Corporate,GeneralBusiness,"TOEIC,Reading,Part5,Part7",v.
acquire,/əˈkwaɪər/,獲得，學得,She managed to acquire a good knowledge of English.,她成功掌握了良好的英語知識。,Beginner,1,Corporate,GeneralBusiness,"TOEIC,Reading,Part5,Part7",v.
act,/ækt/,行動，起作用,We must act quickly to resolve the problem.,我們必須迅速行動以解決問題。,Advanced,4,Corporate,GeneralBusiness,"TOEIC,Reading,Part5,Part7",v.
adapt,/əˈdæpt/,適應，改編,It took him a while to adapt to the new environment.,他花了一段時間才適應新環境。,Beginner,1,Corporate,GeneralBusiness,"TOEIC,Reading,Part5,Part7",v.
adjust,/əˈdʒʌst/,調整，適應,We need to adjust our marketing strategy.,我們需要調整我們的行銷策略。,Intermediate,3,Corporate,GeneralBusiness,"TOEIC,Reading,Part5,Part7",v.
administer,/ədˈmɪnɪstər/,管理，實施,She was hired to administer the new program.,她被僱用來管理這個新項目。,Advanced,4,Corporate,GeneralBusiness,"TOEIC,Reading,Part5,Part7",v.
advance,/ədˈvæns/,前進，提前,Technology has made great advances recently.,技術最近取得了巨大的進步。,Beginner,1,Corporate,GeneralBusiness,"TOEIC,Reading,Part5,Part7",v.
advertise,/ˈædvərtaɪz/,廣告，宣傳,They plan to advertise their product on TV.,他們計劃在電視上為其產品做廣告。,Intermediate,2,Marketing,Advertising,"TOEIC,Listening,Reading,Part3,Part7",v.
advise,/ədˈvaɪz/,建議，忠告,The consultant will advise us on the merger.,顧問將就合併事宜向我們提供建議。,Advanced,4,Corporate,GeneralBusiness,"TOEIC,Reading,Part5,Part7",v.
advocate,/ˈædvəkeɪt/,擁護，提倡,He is a strong advocate of free education.,他是免費教育的強烈擁護者。,Beginner,1,Corporate,GeneralBusiness,"TOEIC,Reading,Part5,Part7",v.
aesthetic,/esˈθetɪk/,美學的，美感的,The building has high aesthetic value.,這棟建築具有很高的美學價值。,Beginner,1,Corporate,GeneralBusiness,"TOEIC,Reading,Part5,Part7",adj.
agenda,/əˈdʒendə/,議程，討論事項,The meeting agenda was distributed this morning.,會議議程已於今早分發。,Beginner,1,Corporate,Meetings,"TOEIC,Reading,Part5,Part7",n.
aggregate,/ˈæɡrɪɡət/,總數，合計,The aggregate score was 4-3 in our favor.,總比分是4比3，對我們有利。,Beginner,1,Corporate,GeneralBusiness,"TOEIC,Reading,Part5,Part7",v.
agree,/əˈɡriː/,同意，一致,Both parties agree to the terms of the contract.,雙方均同意合同條款。,Beginner,1,Corporate,GeneralBusiness,"TOEIC,Reading,Part5,Part7",v.
allocate,/ˈæləkeɪt/,分配，分派,We must allocate our budget wisely.,我們必須明智地分配預算。,Beginner,1,Corporate,GeneralBusiness,"TOEIC,Reading,Part5,Part7",v.
alter,/ˈɔːltər/,改變，更改,The tailor altered the jacket to fit him.,裁縫修改了夾克以適合他。,Beginner,1,Corporate,GeneralBusiness,"TOEIC,Reading,Part5,Part7",v.
ambiguity,/ˌæmbɪˈɡjuːəti/,模稜兩可，含糊其詞,There is a lot of ambiguity in this contract.,這份合同中有很多含糊之處。,Beginner,1,Corporate,GeneralBusiness,"TOEIC,Reading,Part5,Part7",v.
analyze,/ˈænəlaɪz/,分析,We need to analyze the data before making a decision.,我們需要在做出決定前分析數據。,Beginner,1,Corporate,GeneralBusiness,"TOEIC,Reading,Part5,Part7",v.
announce,/əˈnaʊns/,宣布，聲明,The CEO will announce the decision tomorrow.,執行長將於明天宣布決定。,Intermediate,3,Corporate,GeneralBusiness,"TOEIC,Reading,Part5,Part7",v.
anticipate,/ænˈtɪsɪpeɪt/,預期，期望,We anticipate that the sales will increase next month.,我們預計下個月銷售量將會增加。,Beginner,1,Corporate,GeneralBusiness,"TOEIC,Reading,Part5,Part7",v.
apparent,/əˈpærənt/,明顯的，顯而易見的,It was apparent that she was not happy.,很明顯她不高興。,Beginner,1,Corporate,GeneralBusiness,"TOEIC,Reading,Part5,Part7",adj.
applicant,/ˈæplɪkənt/,申請人，求職者,Over fifty applicants applied for the position.,有超過五十名求職者應徵該職位。,Beginner,1,HumanResources,Recruitment,"TOEIC,Listening,Reading,Part3,Part7",n.
apply,/əˈplaɪ/,申請，應用,You can apply for the job online.,您可以在線上申請該工作。,Advanced,4,Corporate,GeneralBusiness,"TOEIC,Reading,Part5,Part7",v.
appoint,/əˈpɔɪnt/,任命，指定,They will appoint a new director next week.,他們將於下週任命一位新董事。,Beginner,1,Corporate,GeneralBusiness,"TOEIC,Reading,Part5,Part7",v.
appraisal,/əˈpreɪzl/,評估，考核,Annual performance appraisals begin next week.,年度績效考核將於下週開始。,Intermediate,3,HumanResources,Performance,"TOEIC,Listening,Reading,Part3,Part7",n.
appreciate,/əˈpriːʃieɪt/,感激，欣賞,I really appreciate your help.,我非常感激你的幫助。,Beginner,1,Corporate,GeneralBusiness,"TOEIC,Reading,Part5,Part7",v.
approve,/əˈpruːv/,批准，贊成,The board must approve the budget first.,董事會必須先批准預算。,Intermediate,3,Corporate,GeneralBusiness,"TOEIC,Reading,Part5,Part7",v.
arbitrary,/ˈɑːrbɪtreri/,任意的，武斷的,The decision seemed completely arbitrary.,這個決定似乎完全是武斷的。,Beginner,1,Corporate,GeneralBusiness,"TOEIC,Reading,Part5,Part7",adj.
arrange,/əˈreɪndʒ/,安排，整理,We should arrange a meeting with the client.,我們應該安排一次與客戶的會議。,Advanced,4,Corporate,GeneralBusiness,"TOEIC,Reading,Part5,Part7",v.
assemble,/əˈsembl/,集合，裝配,The students assembled in the school hall.,學生們在學校禮堂集合。,Beginner,1,Corporate,GeneralBusiness,"TOEIC,Reading,Part5,Part7",v.
assert,/əˈsɜːrt/,斷言，聲稱,She continued to assert her innocence.,她繼續聲稱自己是無辜的。,Beginner,1,Corporate,GeneralBusiness,"TOEIC,Reading,Part5,Part7",v.
assess,/əˈses/,評估，估定,The consultant will assess our performance.,顧問將評估我們的績效。,Beginner,1,Corporate,GeneralBusiness,"TOEIC,Reading,Part5,Part7",v.
asset,/ˈæset/,資產，有價值的人事物,Employees are our company's greatest asset.,員工是我們公司最大的資產。,Beginner,2,Finance,Banking,"TOEIC,Reading,Part6,Part7",n.
assign,/əˈsaɪn/,分配，指派,The supervisor will assign new tasks daily.,主管每天都會指派新任務。,Intermediate,3,Corporate,GeneralBusiness,"TOEIC,Reading,Part5,Part7",v.
assist,/əˈsɪst/,協助，幫助,I will assist you with the preparations.,我會協助您進行準備工作。,Advanced,4,Corporate,GeneralBusiness,"TOEIC,Reading,Part5,Part7",v.
associate,/əˈsoʊʃieɪt/,聯想，合夥人,He is a senior business associate.,他是一位高級業務合作夥伴。,Beginner,1,Corporate,GeneralBusiness,"TOEIC,Reading,Part5,Part7",n.
assume,/əˈsuːm/,假設，承擔,She will assume the role of manager tomorrow.,她明天將接任經理一職。,Intermediate,3,HumanResources,EmploymentAndStaff,"TOEIC,Listening,Reading,Part3,Part7",v.
